Entity,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,1330167597.76536,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.06704,2021301675.97765,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,2461665937.89386,4128820723.04713,4583644246.48061,5285465685.86423,6275073571.54659,7057598406.61553,9843842455.48323,10190529882.4878,12486943505.7381,15936800636.2487,17930239399.8149,20536542736.7297,20264253973.7858,20616104298.4975,19215562179.0117,19469022207.6852,20815300220.0428,
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,11228764963.1618,10603784541.197,8307810973.58848,5768720421.61367,4438321017.39068,5538749259.94714,7526446605.51712,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,12497347956.1316,14188949398.3752,19640853733.598,28233712737.97,41789479931.7142,60448924661.7935,84178035578.8223,75492385928.3332,82526143645.0623,104115807985.965,113923162050.111,124912503781.148,126730196125.425,102621215573.456,95337203468.1156,124209385825.22,
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,2101624962.5,1139166645.83333,709452583.880319,1228071037.84446,1985673798.10258,2424499009.14264,3314898291.75235,2359903108.38446,2707123772.16195,3414760915.27878,3632043907.97733,4060758804.12084,4435078647.74817,5746945912.58082,7314865175.6199,8158548716.68554,8992642348.7871,10701011896.7708,12881352687.7773,12044212903.8168,11926953258.916,12890867538.5302,12319784787.2987,12776277515.48,13228244357.1813,11386931489.7968,11883682170.8236,13039352743.9616,
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1434429703.33518,1496912751.67785,1733116883.11688,2398645598.19413,2935659299.72684,3255789080.96008,3543256805.92147,4016972351.49192,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.32501,3350736367.25488,2811489408.89431,2877311946.90265,3012914131.16971,
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,446738041822.103,439642267666.675,471016834841.506,476365284407.184,487375131447.334,523357362511.381,578012134733.363,612896365521.561,590692883161.579,643147698719.749,734768117003.098,723282816386.413,729051715398.536,823110541434.921,963862340514.091,1184661549862.35,1404113530791.23,1637573196525.36,2078115659876.48,1795819607113.11,2109550811385.89,2501304511876.72,2786139307967.37,2866038091981.47,2906918403546.86,2554479933648.44,2500164034395.78,2591047461124.41,
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,50701443748.2975,51552165622.4462,54239171887.769,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617018379.85,222116541865.214,257916133424.098,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.073,358135057862.492,357045064669.843,382575085091.899,
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,554860945013.62,637590419269.324,
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,2256838858.42714,2068526521.90299,1272577456.12712,1201313201.01272,1315158670.28285,1468317350.06841,1596968913.27897,1639492424.36472,1893726437.26462,1845482181.44801,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79782,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11536590635.8268,
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,659000000,658000000,,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,459469074.074074,481706333.333333,499281148.148148,535172777.777778,589429592.592593,577280740.740741,633730629.62963,680617111.111111,727860592.592593,766198925.925926,830158777.777778,800740259.259259,814615333.333333,855643111.111111,919577148.148148,1022191296.2963,1157005444.44444,1311401333.33333,1368431037.03704,1224253000,1152469074.07407,1142042925.92593,1211411703.7037,1192925407.40741,1280133333.33333,1364863037.03704,1460144703.7037,1532397555.55556,
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,310838014621.008,325358292127.776,324878105052.68,311528948847.667,322201314424.075,367216364716.365,400302731411.229,434568007512.913,398899138574.239,388395162301.04,415034227218.489,378215090694.43,394486709920.469,466294700058.241,611904253805.662,692641708013.833,745521862833.184,851962785585.303,1052584601611.46,926448240318.068,1144260547872.81,1394280784777.68,1543411012579.91,1573696522006.77,1464955475993.76,1349034029453.37,1208039015868.39,1323421072479.07,
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,166463386663.439,173794177725.398,195078126346.106,190379720927.481,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441885415805.825,382065930307.978,390799991147.468,416595666396.636,
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,8858006035.91566,8792365810.5094,4991350457.5425,3973027396.65195,3313739673.54738,3052467522.36104,3176749593.11788,3962710163.11167,4446396217.63265,4581222442.45783,5272617196.04517,5707720390.8515,6235795103.88809,7276013031.96905,8680472168.51531,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52902703376.1056,65951627200.2026,69683935845.2138,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40747792237.9735,
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1132101252.51817,1167398478.3459,1083037670.60484,938632612.026359,925030590.153683,1000428393.88528,869033856.317093,972896267.915425,893770806.077642,808077223.365746,870486065.883137,876794723.068586,825394490.159111,784654423.620476,915257323.3961,1117257279.46188,1273180597.02711,1356078278.18821,1611634331.64869,1739781488.7457,2026864469.36388,2355652125.85184,2472384906.99793,2714505634.52629,3093647226.8107,3066681386.75112,3007029030.4001,3477502178.27657,
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,206430841501.69,211637816538.689,236038384441.656,225924679920.709,246194938750.904,289567323481.117,281358175895.766,254813599458.728,260601911535.897,260202429149.798,237904919845.218,237841968680.09,258860436664.784,319002821670.429,370885026074,387365750528.541,409813197842.178,471821105940.323,518625897172.99,484552792442.345,483548031197.108,527008453886.929,497884216568.867,520925468952.938,530770977633.615,455039563132.776,467545548764.571,492681283049.248,
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075932.35432,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.6912,3905366187.87017,4521424807.22519,4803702821.08056,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9157355679.70205,9707432015.61441,8291155880.59505,8573159696.61128,9273558271.64744,
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,3101301780.95067,3135045684.1006,2240264711.54816,2332018010.55341,1895290964.80829,2379518099.2266,2586550747.09844,2447669403.89018,2804902723.73145,2993753187.09677,2628920056.10098,2812845513.57125,3205592289.79773,4205691222.11396,4838551099.70985,5462709498.45119,5816310157.71765,6771277870.96412,8369637065.40255,8369175126.25316,8979966766.07232,10724063457.8326,11166063466.5623,11947176341.9966,12377391462.6377,10419303761.3524,11448781714.3131,12873114800.0165,
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,31598341233.559,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078665827.565,221415162445.648,249723887765.42,
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,20632090909.0909,10943548387.0968,10350515463.9175,10829710144.9275,9697416974.16974,13063422619.0476,10109612141.6526,11195612105.357,14630992956.1463,13495075365.9466,13153016530.8718,14075616789.4905,16276456427.5397,20982685981.4163,25957970922.4811,29636617749.8253,34130122490.8613,44411476557.0329,54409138498.3548,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55758754071.6612,56731990231.9902,50199104511.4487,53240893665.1584,56831518294.4397,
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,4229787234.04255,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062906914.89362,8976207712.76596,9632155053.19149,11074822074.4681,13150166755.3191,15968726861.7021,18505053191.4894,21730000000,25710877659.5745,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539547872.3404,33387712765.9575,31125851063.8298,32152686170.2128,35307127659.5745,
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000,
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,1255802469.1358,1866572953.73666,2786045321.63743,3671816504.23851,4116699437.4041,4685729738.56209,5505984455.95855,5748990666.17862,6651226179.01829,8370020196.19158,10022840634.9206,11225138297.1959,12866524918.2221,15776422673.198,19112739664.4697,17613836209.9581,17176781336.7644,18644723860.9709,17226849297.07,18178503835.4491,18558343508.3435,16209702863.6235,16911088173.7458,18168579578.1952,
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,21650000000,18000000000,17037037037.037,16280991735.5372,14932024169.1843,13972676840.918,14756846153.8462,14128408565.7064,15222012660.4232,12138486532.0203,12736856827.9847,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,49209523809.5238,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54442374372.5094,
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,413050000,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114222550,1217467600,1290573400,1368625150,1336957250,1397113450,1487005600,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000,
