Sales,Profit
28.8462,40.7692
6,9.2308
7.6154,32.6923
18.6923,12.6923
8.0769,18.4615
17.7692,35.7692
27,52.3077
14.7692,25.3846
24.4615,24.6154
29.7692,38.0769
23.3077,42.6923
38.3077,61.9231
44.3077,55.7692
28.1538,30.7692
30.4615,43.4615
37.8462,25
15.9231,13.0769
54.6923,59.2308
61.1538,64.6154
80.0769,64.2308
84,70.3846
88.6154,74.6154
47.0769,34.2308
66.9231,44.2308
79.8462,46.9231
85.8462,52.3077
84.4615,50.3846
44.3077,13.8462
55.3846,20.7692
74.0769,37.6923
76.6154,42.3077
47.5385,64.2308
47.7692,38.8462
39.6923,37.3077
38.3077,44.2308
46.6154,73.0769
51.9231,88.8462
56.3077,68.0769
65.0769,78.8462
78,90
81.6923,93.0769
83.3077,92.3077
66,63.0769
76.6154,73.8462
84.4615,81.5385
88.1538,87.3077
9,34.6154
50.0769,41.9231
61.8462,43.0769
18.2308,29.6154
24.6923,36.5385
36,12.3077
7.6154,9.2308
13.6154,51.5385
22.1538,68.8462
34.8462,75
19.3846,77.6923
19.3846,77.6923
27,19.6154
33.2308,32.6923
43.3846,45
43.8462,46.9231
56.7692,55.7692
42.9231,50.7692
49.8462,53.8462
51,53.4615
60,81.9231
59.0769,31.1538
62.5385,31.9231
63.6923,32.6923
65.3077,31.9231
66,31.9231
69.4615,30.7692
70.6154,30.3846
72.6923,31.9231
